year,quarter,frequency,value
1992,2,quarterly,10.743333333333334
1992,3,quarterly,10.806666666666667
1992,4,quarterly,10.87
1993,1,quarterly,10.956666666666667
1993,2,quarterly,11.01
1993,3,quarterly,11.07
1993,4,quarterly,11.153333333333334
1994,1,quarterly,11.233333333333333
1994,2,quarterly,11.29
1994,3,quarterly,11.363333333333333
1994,4,quarterly,11.45
1995,1,quarterly,11.516666666666667
1995,2,quarterly,11.593333333333334
1995,3,quarterly,11.696666666666667
1995,4,quarterly,11.78
1996,1,quarterly,11.873333333333333
1996,2,quarterly,11.99
1996,3,quarterly,12.093333333333334
1996,4,quarterly,12.2
1997,1,quarterly,12.316666666666666
1997,2,quarterly,12.426666666666668
1997,3,quarterly,12.556666666666667
1997,4,quarterly,12.706666666666667
1998,1,quarterly,12.83
1998,2,quarterly,12.96
1998,3,quarterly,13.06
1998,4,quarterly,13.173333333333334
1999,1,quarterly,13.303333333333333
1999,2,quarterly,13.423333333333334
1999,3,quarterly,13.549999999999999
1999,4,quarterly,13.666666666666666
2000,1,quarterly,13.796666666666667
2000,2,quarterly,13.936666666666667
2000,3,quarterly,14.07
2000,4,quarterly,14.23
2001,1,quarterly,14.356666666666666
2001,2,quarterly,14.493333333333332
2001,3,quarterly,14.59
2001,4,quarterly,14.706666666666667
2002,1,quarterly,14.79
2002,2,quarterly,14.883333333333333
2002,3,quarterly,15.013333333333334
2002,4,quarterly,15.156666666666666
2003,1,quarterly,15.256666666666666
2003,2,quarterly,15.323333333333332
2003,3,quarterly,15.413333333333334
2003,4,quarterly,15.450000000000001
2004,1,quarterly,15.533333333333333
2004,2,quarterly,15.63
2004,3,quarterly,15.733333333333333
2004,4,quarterly,15.836666666666666
2005,1,quarterly,15.933333333333334
2005,2,quarterly,16.04
2005,3,quarterly,16.17
2005,4,quarterly,16.313333333333333
2006,1,quarterly,16.48
2006,2,quarterly,16.669999999999998
2006,3,quarterly,16.823333333333334
2006,4,quarterly,16.986666666666668
2007,1,quarterly,17.156666666666666
2007,2,quarterly,17.34
2007,3,quarterly,17.503333333333334
2007,4,quarterly,17.63
2008,1,quarterly,17.806666666666665
2008,2,quarterly,17.98
2008,3,quarterly,18.16
2008,4,quarterly,18.316666666666666
2009,1,quarterly,18.443333333333335
2009,2,quarterly,18.536666666666665
2009,3,quarterly,18.653333333333332
2009,4,quarterly,18.793333333333333
2010,1,quarterly,18.903333333333332
2010,2,quarterly,19
2010,3,quarterly,19.086666666666666
2010,4,quarterly,19.21666666666667
2011,1,quarterly,19.313333333333333
2011,2,quarterly,19.393333333333334
2011,3,quarterly,19.48
2011,4,quarterly,19.563333333333333
2012,1,quarterly,19.60333333333333
2012,2,quarterly,19.686666666666667
2012,3,quarterly,19.759999999999998
2012,4,quarterly,19.85
2013,1,quarterly,19.98
2013,2,quarterly,20.07
2013,3,quarterly,20.18
2013,4,quarterly,20.3
2014,1,quarterly,20.46666666666667
2014,2,quarterly,20.55
2014,3,quarterly,20.643333333333334
2014,4,quarterly,20.726666666666667
2015,1,quarterly,20.85
2015,2,quarterly,20.96666666666667
2015,3,quarterly,21.076666666666668
2015,4,quarterly,21.21
2016,1,quarterly,21.343333333333334
2016,2,quarterly,21.483333333333334
2016,3,quarterly,21.6
2016,4,quarterly,21.73
2017,1,quarterly,21.846666666666668
2017,2,quarterly,21.976666666666667
2017,3,quarterly,22.116666666666667
2017,4,quarterly,22.236666666666668
2018,1,quarterly,22.419999999999998
2018,2,quarterly,22.603333333333335
2018,3,quarterly,22.78
2018,4,quarterly,23
2019,1,quarterly,23.203333333333333
2019,2,quarterly,23.403333333333332
2019,3,quarterly,23.606666666666666
2019,4,quarterly,23.806666666666665
2020,1,quarterly,24.023333333333333
2020,2,quarterly,24.96666666666667
2020,3,quarterly,24.77
2020,4,quarterly,24.986666666666668
2021,1,quarterly,25.26
2021,2,quarterly,25.666666666666668
2021,3,quarterly,26.123333333333335
2021,4,quarterly,26.593333333333334
2022,1,quarterly,27.003333333333334
2022,2,quarterly,27.403333333333332
2022,3,quarterly,27.75
2022,4,quarterly,28.116666666666667
2023,1,quarterly,28.44333333333333
2023,2,quarterly,28.78666666666667
2023,3,quarterly,29.08
2023,4,quarterly,29.376666666666665
2024,1,quarterly,29.693333333333335
2024,2,quarterly,29.963333333333335
2024,3,quarterly,30.273333333333333
2024,4,quarterly,30.58
2025,1,quarterly,30.89
