year,bls_wage_goods,bls_wage_private,bls_wage_private_extended,nipa_comp,nipa_wage,nipa_comp_wage_ratio,bls_comp_private,bls_hours_millions,nipa_ndp,productivity,bls_comp_private_cpi_u_rs,productivity_cpi_u_rs,bls_comp_private_c_cpi_u,productivity_c_cpi_u,bls_comp_private_cpi_u_rs_index,bls_comp_private_c_cpi_u_index,productivity_cpi_u_rs_index,productivity_c_cpi_u_index
1976,5.4816666666666665,5.058333333333334,5.058333333333334,1048347,899745,1.1651601287031326,5.893768317690013,169552.75,1613186,9.514360575101259,28.783370708023075,46.46524137383691,26.877479647160087,43.388545142754,0.9805261862530409,0.9796545338248328,0.9909158883156653,0.9900349998169081
1977,5.9366666666666665,5.434166666666666,5.434166666666666,1165825,994158,1.1726757718592014,6.372515590244876,175489.25,1791994,10.211417508479864,29.27577970037856,46.911962030265876,27.372851058097304,43.86267975233395,0.9973004520695335,0.9977102762167027,1.0004426352560893,1.0008537506315358
1978,6.4675,5.873333333333333,5.873333333333333,1316765,1120570,1.1750850013832246,6.901665908124139,183551.75,2024403,11.02905856250349,29.702284411112792,47.465095901655346,27.753507587988558,44.35089507049276,1.0118296412210537,1.0115847875263,1.01223874618373,1.011993793489246
1979,7.04,6.335833333333333,6.335833333333333,1477231,1253314,1.1786599367756205,7.467792916087536,188906.5,2253451,11.928922509283693,29.35502499735897,46.89120632914403,27.43567116687883,43.825263905597325,1,1,1,1
1980,7.6625000000000005,6.841666666666667,6.841666666666667,1622247,1373422,1.181171555428703,8.081182058391377,188252.75,2428876,12.902207271872522,28.567073948349694,45.60945497444787,26.691438216162588,42.6148632416605,0.9731578818590627,0.9728735285464895,0.9726654216208653,0.9723812122034425
1981,8.411666666666667,7.43,7.43,1792525,1511373,1.1860242309476219,8.81216003594083,189200.5,2719810,14.375279135097424,28.463720374897303,46.43287502084308,26.577099682864098,43.355230157448084,0.9696370681836634,0.9687060149251524,0.9902256447598344,0.9892748221856296
1982,8.995833333333334,7.8625,7.8625,1892983,1587517,1.19241746702555,9.375382334488387,185849.5,2806826,15.102682546899507,28.558368019563613,46.00430690387762,26.668102593586536,42.95930269611382,0.9728613081451291,0.9720229708023719,0.9810860181535747,0.9802405933858414
1983,9.315833333333334,8.1975,8.1975,2012489,1677513,1.1996860829096407,9.83442666465178,189252.25,3071413,16.22920203062315,28.729570223849443,47.41079630922614,26.85129976977958,44.31119206113961,0.9786934341372286,0.9787003061253803,1.011080755236599,1.0110878546353768
1984,9.664166666666667,8.485833333333334,8.485833333333334,2215872,1844915,1.2010699679931054,10.192079570061495,198682.75,3439218,17.310098637148922,28.584902314785456,48.548235441142396,26.712985128928505,45.36899504127937,0.973765217960373,0.9736588897878768,1.0353377368960643,1.0352246854464435
1985,10.009166666666667,8.731666666666667,8.731666666666667,2387324,1982550,1.204168369019697,10.514396808823655,203302.5,3698842,18.19378512315392,28.527285544712974,49.36272739029623,26.65423095649633,46.121652003703154,0.97180246132577075,0.9715173649068269,1.0527075597885842,1.052398728346563
1986,10.200833333333334,8.921666666666667,8.921666666666667,2542063,2102335,1.209161717804251,10.787737792343593,205661.75,3894335,18.935630957142006,28.782248159738575,50.521252904061186,26.90607329146107,47.22801797375154,0.9804879458398714,0.9806967406703319,1.0774142287881596,1.077643664062902
1987,10.388333333333334,9.138333333333334,9.138333333333334,2722405,2256267,1.206597002925629,11.026285611735373,211777,4124830,19.477233127298998,28.455543511503176,50.26491007521792,26.566164058869504,46.92744128829404,0.9693585174621135,0.9683074234736047,1.071947471822175,1.0707851386674823
1988,10.688333333333333,9.433333333333334,9.433333333333334,2947987,2439782,1.2082993480565067,11.39829051666638,217604.25,4451942,20.45889269166388,28.372586865031607,50.9262076806902,26.523245101025324,47.60680775447368,0.9665325397469172,0.9667430747254686,1.0860502782381676,1.086286847171578
1989,11.035,9.805,9.805,3139601,2583051,1.2154622576170582,11.917607435935254,223481,4803321,21.49319628961746,28.436436648782315,51.28461546959705,26.568611072773088,47.916024755752694,0.9687076284670411,0.9683966144355717,1.0936936684804888,1.0933425263329195
1990,11.460833333333333,10.199166666666667,10.199166666666667,3340373,2741199,1.2185809932077167,12.428510646557704,224153,5074612,22.639054574330927,28.259766363858184,51.47635232918465,26.393129350555125,48.07619454548927,0.9626892283825571,0.9620004989131706,1.0977826411173142,1.0969972627899913
1991,11.761666666666667,10.5125,10.5125,3450516,2814478,1.2259879096585584,12.888197900285595,221283,5225736,23.615623432437197,28.274742756827724,51.80908011813493,26.413041720946744,48.39780175732008,0.9631994099603581,0.9627262828850844,1.1048783807025735,1.1043356603983565
1992,11.99,10.770833333333334,10.770833333333334,3668246,2965541,1.2369567643812713,13.323055149689944,221164,5560080,25.140077046897325,28.518573981685048,53.813418852648724,26.630454535396705,50.25061228762908,0.9715056956773439,0.9706507405419625,1.1476228287861805,1.1466128851128519
1993,12.2725,11.043333333333333,11.043333333333333,3817290,3079340,1.2396455084531102,13.68981856501718,226298,5855061,25.87323352393746,28.58194926237091,54.018790995841556,26.704565801713557,50.470608055295436,0.9736646201099262,0.9733520145828295,1.1520025869385142,1.1516327240838218
1994,12.625833333333333,11.333333333333334,11.333333333333334,4006192,3236589,1.237782121857301,14.028197381049413,233817,6231627,26.651727633149,28.688525640898963,54.50442068991282,26.81119521928657,50.937740116838704,0.977295220953824,0.977238539425777,1.1623591064671968,1.1622916915357806
1995,12.9575,11.649166666666666,11.649166666666666,4198088,3418022,1.228221468439934,14.307756589434863,238609.75,6517369,27.313925772102774,28.571000158369262,54.5428748862479,26.68584863884726,50.94406550257327,0.9732916310219376,0.9726697946089696,1.1631791791278394,1.1624360234843156
