year,quarter,bls_wage_goods,bls_wage_private,bls_wage_private_extended,nipa_comp,nipa_wage,nipa_comp_wage_ratio,bls_comp_private,bls_hours_millions,nipa_ndp,productivity,bls_comp_private_cpi_u_rs,productivity_cpi_u_rs,bls_comp_private_c_cpi_u,productivity_c_cpi_u,bls_comp_private_cpi_u_rs_index,bls_comp_private_c_cpi_u_index,productivity_cpi_u_rs_index,productivity_c_cpi_u_index
1998,3,14.246666666666666,13.06,13.06,5114859,4217415,1.2127948044003258,15.839100145468256,254260,7802329,30.686419413199086,29.69335616978674,57.52743355639924,27.746971521566945,53.75653905443012,1.0115254942708516,1.0113465551031944,1.2268277585480782,1.2266107323443722
1998,4,14.376666666666667,13.173333333333334,13.173333333333334,5199394,4288664,1.212357508072444,15.970789573007663,256872,7955194,30.969486748263726,29.815827237475112,57.81685760108681,27.86288519352414,54.02984303466318,1.0156975591115183,1.015571480793991,1.233000004206593,1.2328469521837275
1999,1,14.463333333333333,13.303333333333333,13.303333333333333,5286953,4364622,1.2113197889759983,16.1145909260107,256449,8052995,31.401935667520636,29.976341580416538,58.41384085875112,28.027524708736397,54.616250072037424,1.02116559543429,1.0215724098112122,1.2457312454008138,1.246227522775097
1999,2,14.653333333333334,13.423333333333334,13.423333333333334,5343904,4409322,1.211955942432873,16.268488600590597,258563,8143002,31.493299505342993,30.042876811530434,58.1584030733687,28.06561775821968,54.33073271662113,1.023432165846677,1.022960859514213,1.2402837893556564,1.2397126194985002
1999,3,14.806666666666667,13.549999999999999,13.549999999999999,5423980,4473677,1.2124210129609267,16.428304725620556,259596.99999999997,8275971,31.880071803603283,30.10292542096785,58.416461098527556,28.14153709796633,54.61027405632345,1.025477764835021,1.0257280358404224,1.2457871245300058,1.2460911627128541
1999,4,14.91,13.666666666666666,13.666666666666666,5555892,4584082,1.2119966440390901,16.5639541352009,261016.00000000003,8456974,32.40021301376161,30.130301995731838,58.936905696692676,28.147138845131597,55.05770463177672,1.0264103675075262,1.0259322133555702,1.256886105317831,1.2563005838453103
2000,1,15.056666666666667,13.8,13.8,5749187,4751494,1.2099745890450455,16.69764932882163,262559,8523209,32.46207138205127,30.069153681120476,58.45775018819894,28.121486641906525,54.67127071373189,1.024327306272972,1.0249972187979726,1.2466676540131154,1.2474829776609588
2000,2,15.186666666666667,13.936666666666667,13.936666666666667,5791743,4779055,1.2119013068483204,16.88986454644276,263231,8741587,33.20880519391713,30.185426176279762,59.3505018839577,28.277224009349542,55.59860003430417,1.0282882122905874,1.0306736743326572,1.265706441147152,1.2686426750120074
2000,3,15.32,14.07,14.07,5903946,4871279,1.2119909370824378,17.0527124847499,262784,8793202,33.46170999756454,30.19223848442715,59.24476409525449,28.326820250546465,55.58434443931375,1.0285202784580665,1.0324814027055207,1.2634514812734177,1.2683173924302271
2000,4,15.48,14.23,14.23,5943706,4897955,1.2135076782044751,17.268214260849682,261990,8900900,33.97419748845376,30.370336641700533,59.7518538552803,28.54541541079233,56.161428501321524,1.0345873200391724,1.0404489555645797,1.2742656573145796,1.281485232406065
