name,year,quarter,frequency,value,source
nipa_ndp,2002,4,quarterly,9380693,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2003,1,quarterly,9479101,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2003,2,quarterly,9603972,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2003,3,quarterly,9840956,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2003,4,quarterly,10025378,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2004,1,quarterly,10149461,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2004,2,quarterly,10309206,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2004,3,quarterly,10470161,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2004,4,quarterly,10652601,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2005,1,quarterly,10855684,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2005,2,quarterly,10973687,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2005,3,quarterly,11152967,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2005,4,quarterly,11290244,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2006,1,quarterly,11528732,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2006,2,quarterly,11646330,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2006,3,quarterly,11729080,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2006,4,quarterly,11861529,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2007,1,quarterly,12000976,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2007,2,quarterly,12161154,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2007,3,quarterly,12298516,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2007,4,quarterly,12425262,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2008,1,quarterly,12386744,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2008,2,quarterly,12518501,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2008,3,quarterly,12522958,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2008,4,quarterly,12215395,"NIPA, Table 1.7.5, Line 30, Net domestic product"
